# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.865236908197402954e-01 7.425489276647567749e-02 4.275597265625000000e+04 1.865236908197402954e-01 7.425489276647567749e-02 4.275597265625000000e+04
1.000000000000000000e+03 4.520241636782884598e-03 2.668956527486443520e-03 9.004587890625000000e+03 4.520241636782884598e-03 2.668956527486443520e-03 9.004587890625000000e+03
2.000000000000000000e+03 5.143364542163908482e-04 8.070906187640503049e-05 3.832337646484375000e+03 5.143364542163908482e-04 8.070906187640503049e-05 3.832337646484375000e+03
3.000000000000000000e+03 2.193576219724491239e-04 1.849745422077830881e-05 1.392212768554687500e+03 2.193576219724491239e-04 1.849745422077830881e-05 1.392212768554687500e+03
4.000000000000000000e+03 1.684504386503249407e-04 9.457618943997658789e-06 5.029235839843750000e+02 1.684504386503249407e-04 9.457618943997658789e-06 5.029235839843750000e+02
5.000000000000000000e+03 1.552397006889805198e-04 7.332069071708247066e-05 2.496659545898437500e+02 1.552397006889805198e-04 7.332069071708247066e-05 2.496659545898437500e+02
6.000000000000000000e+03 7.356344722211360931e-04 7.835059077478945255e-04 1.560753021240234375e+02 7.356344722211360931e-04 7.835059077478945255e-04 1.560753021240234375e+02
7.000000000000000000e+03 5.583767779171466827e-04 6.382737774401903152e-04 1.240232696533203125e+02 5.583767779171466827e-04 6.382737774401903152e-04 1.240232696533203125e+02
8.000000000000000000e+03 3.013293026015162468e-03 6.220376235432922840e-04 1.088915100097656250e+02 3.013293026015162468e-03 6.220376235432922840e-04 1.088915100097656250e+02
9.000000000000000000e+03 3.929433412849903107e-03 1.451742835342884064e-03 9.991021728515625000e+01 3.929433412849903107e-03 1.451742835342884064e-03 9.991021728515625000e+01
1.000000000000000000e+04 1.600166596472263336e-02 2.939554164186120033e-03 9.481657409667968750e+01 1.600166596472263336e-02 2.939554164186120033e-03 9.481657409667968750e+01
1.100000000000000000e+04 7.089161872863769531e-02 1.446648873388767242e-02 8.187404632568359375e+01 7.089161872863769531e-02 1.446648873388767242e-02 8.187404632568359375e+01
1.200000000000000000e+04 2.304966449737548828e-01 1.531944051384925842e-02 7.339043426513671875e+01 2.304966449737548828e-01 1.531944051384925842e-02 7.339043426513671875e+01
1.300000000000000000e+04 6.610556840896606445e-01 1.622393727302551270e-02 3.931653213500976562e+01 6.610556840896606445e-01 1.622393727302551270e-02 3.931653213500976562e+01
1.400000000000000000e+04 7.178329825401306152e-01 1.471602544188499451e-02 1.376643371582031250e+01 7.178329825401306152e-01 1.471602544188499451e-02 1.376643371582031250e+01
1.500000000000000000e+04 7.103177905082702637e-01 8.828056976199150085e-03 8.391071319580078125e+00 7.103177905082702637e-01 8.828056976199150085e-03 8.391071319580078125e+00
1.600000000000000000e+04 6.761118769645690918e-01 9.441454894840717316e-03 5.915669918060302734e+00 6.761118769645690918e-01 9.441454894840717316e-03 5.915669918060302734e+00
1.700000000000000000e+04 6.300309896469116211e-01 1.233045756816864014e-02 4.700405120849609375e+00 6.300309896469116211e-01 1.233045756816864014e-02 4.700405120849609375e+00
1.800000000000000000e+04 5.157278776168823242e-01 1.404039748013019562e-02 3.925153255462646484e+00 5.157278776168823242e-01 1.404039748013019562e-02 3.925153255462646484e+00
1.900000000000000000e+04 4.374245703220367432e-01 1.221304293721914291e-02 3.387137889862060547e+00 4.374245703220367432e-01 1.221304293721914291e-02 3.387137889862060547e+00
2.000000000000000000e+04 3.799113929271697998e-01 1.081167999655008316e-02 2.765420913696289062e+00 3.799113929271697998e-01 1.081167999655008316e-02 2.765420913696289062e+00
2.100000000000000000e+04 3.418500125408172607e-01 1.140468101948499680e-02 2.209318637847900391e+00 3.418500125408172607e-01 1.140468101948499680e-02 2.209318637847900391e+00
2.200000000000000000e+04 3.153187632560729980e-01 1.313974708318710327e-02 1.878497004508972168e+00 3.153187632560729980e-01 1.313974708318710327e-02 1.878497004508972168e+00
2.300000000000000000e+04 2.501275241374969482e-01 1.530432980507612228e-02 1.651994347572326660e+00 2.501275241374969482e-01 1.530432980507612228e-02 1.651994347572326660e+00
