datetime,P_0.02m,P_0.06m,P_0.10m,P_0.14m,P_0.18m,P_0.22m,P_0.26m
19/06/2024 02:45,19.92235682,20.08568525,20.12351227,20.03304824,19.84248136,19.57227164,19.26397009
19/06/2024 03:00,19.8390629,20.01271772,20.06104851,19.98231467,19.80378317,19.54468565,19.24644918
19/06/2024 03:15,19.75561259,19.94020795,19.99905586,19.93219336,19.76556753,19.51746397,19.22845907
19/06/2024 03:30,19.67138407,19.86638593,19.93651009,19.88160475,19.7266004,19.48941641,19.2097537
19/06/2024 03:45,19.58735392,19.79247617,19.8741951,19.83108672,19.68760656,19.46096259,19.19047804
19/06/2024 04:00,19.50734637,19.71997213,19.81139183,19.78042754,19.64809393,19.43195563,19.1705615
19/06/2024 04:15,19.42028925,19.64541006,19.74881554,19.72919806,19.60786031,19.40183669,19.14959974
19/06/2024 04:30,19.34252283,19.57693624,19.68816185,19.67829474,19.56731962,19.37141257,19.12818022
19/06/2024 04:45,19.25355646,19.50064229,19.6250248,19.62713202,19.52665685,19.3407691,19.10630293
19/06/2024 05:00,19.1799576,19.43140935,19.56373215,19.57571753,19.4849851,19.30871611,19.08292646
19/06/2024 05:15,19.11948321,19.36773443,19.50435066,19.52496299,19.44398283,19.27704649,19.0598876
19/06/2024 05:30,19.06213877,19.3081851,19.44684601,19.47481879,19.40282415,19.24482375,19.03613348
19/06/2024 05:45,18.99629328,19.24440145,19.38857079,19.42473944,19.36263059,19.21377211,19.01327772
19/06/2024 06:00,18.93165705,19.18197011,19.33151817,19.37532576,19.32169698,19.18216925,18.99001379
19/06/2024 06:15,18.89842531,19.13145589,19.27731133,19.32662734,19.28152441,19.15067511,18.9667613
19/06/2024 06:30,18.82620928,19.07205724,19.22393417,19.27876052,19.24111913,19.11832838,18.94268102
19/06/2024 06:45,18.75170252,19.01378393,19.17199898,19.23236998,19.20158361,19.08658057,18.91869612
19/06/2024 07:00,18.71798823,18.96503972,19.12277031,19.18728789,19.16250585,19.05467062,18.89406843
19/06/2024 07:15,18.68704531,18.91858816,19.07403183,19.14257582,19.12411283,19.02332335,18.86956281
19/06/2024 07:30,18.67623255,18.88588857,19.03216553,19.10040053,19.08611082,18.99122649,18.84412451
19/06/2024 07:45,18.68110583,18.86230611,18.99471474,19.06020888,19.04936765,18.95989256,18.81883497
19/06/2024 08:00,18.68357393,18.84251737,18.96154785,19.02279814,19.0136144,18.92872267,18.79331655
19/06/2024 08:15,18.68200228,18.82553434,18.93239594,18.98800429,18.97924207,18.89791899,18.76755781
19/06/2024 08:30,18.71503565,18.82031965,18.90889359,18.9565998,18.94643568,18.8675788,18.74173612
19/06/2024 08:45,18.76855776,18.82924604,18.89239502,18.92914351,18.91611074,18.83842307,18.7162158
19/06/2024 09:00,18.83043978,18.84795904,18.88302422,18.90550002,18.88787054,18.81076842,18.69149656
19/06/2024 09:15,18.92694208,18.88368558,18.88333321,18.88718566,18.86282705,18.78433638,18.66735906
19/06/2024 09:30,19.00843928,18.92576932,18.89214134,18.87498816,18.84118055,18.75992613,18.64418859
19/06/2024 09:45,19.097316,18.97353696,18.90799904,18.86865004,18.82367872,18.73815184,18.62261266
19/06/2024 10:00,19.17843554,19.02251768,18.92901611,18.86778029,18.81001829,18.71881705,18.60238142
19/06/2024 10:15,19.30907366,19.08823347,18.95656586,18.87128218,18.79996465,18.70172911,18.58366842
19/06/2024 10:30,19.45204279,19.16767644,18.99308968,18.88035544,18.79362463,18.68734579,18.56665106
19/06/2024 10:45,19.63143847,19.2657237,19.03967857,18.89561805,18.79135107,18.67557745,18.55120916
19/06/2024 11:00,19.79313586,19.37182569,19.09687233,18.91771849,18.79351019,18.6667636,18.53765173
19/06/2024 11:15,19.98846171,19.48938703,19.1626091,18.94682654,18.80048345,18.66113501,18.52621908
19/06/2024 11:30,20.11367914,19.60167837,19.23427773,18.98212203,18.81219839,18.65854674,18.51678533
19/06/2024 11:45,20.17372057,19.68169355,19.30235672,19.02185973,18.8283708,18.6593936,18.50975675
