# x
0.000000000000000000e+00 0.000000000000000000e+00
3.999999910593032837e-02 0.000000000000000000e+00
7.999999821186065674e-02 0.000000000000000000e+00
1.199999973177909851e-01 0.000000000000000000e+00
1.599999964237213135e-01 0.000000000000000000e+00
2.000000029802322388e-01 0.000000000000000000e+00
2.399999946355819702e-01 0.000000000000000000e+00
0.000000000000000000e+00 1.041666697710752487e-02
3.999999910593032837e-02 1.041666697710752487e-02
7.999999821186065674e-02 1.041666697710752487e-02
1.199999973177909851e-01 1.041666697710752487e-02
1.599999964237213135e-01 1.041666697710752487e-02
2.000000029802322388e-01 1.041666697710752487e-02
2.399999946355819702e-01 1.041666697710752487e-02
0.000000000000000000e+00 2.083333395421504974e-02
3.999999910593032837e-02 2.083333395421504974e-02
7.999999821186065674e-02 2.083333395421504974e-02
1.199999973177909851e-01 2.083333395421504974e-02
1.599999964237213135e-01 2.083333395421504974e-02
2.000000029802322388e-01 2.083333395421504974e-02
2.399999946355819702e-01 2.083333395421504974e-02
0.000000000000000000e+00 3.125000000000000000e-02
3.999999910593032837e-02 3.125000000000000000e-02
7.999999821186065674e-02 3.125000000000000000e-02
1.199999973177909851e-01 3.125000000000000000e-02
1.599999964237213135e-01 3.125000000000000000e-02
2.000000029802322388e-01 3.125000000000000000e-02
2.399999946355819702e-01 3.125000000000000000e-02
0.000000000000000000e+00 4.166666790843009949e-02
3.999999910593032837e-02 4.166666790843009949e-02
7.999999821186065674e-02 4.166666790843009949e-02
1.199999973177909851e-01 4.166666790843009949e-02
1.599999964237213135e-01 4.166666790843009949e-02
2.000000029802322388e-01 4.166666790843009949e-02
2.399999946355819702e-01 4.166666790843009949e-02
0.000000000000000000e+00 5.208333209156990051e-02
3.999999910593032837e-02 5.208333209156990051e-02
7.999999821186065674e-02 5.208333209156990051e-02
1.199999973177909851e-01 5.208333209156990051e-02
1.599999964237213135e-01 5.208333209156990051e-02
2.000000029802322388e-01 5.208333209156990051e-02
2.399999946355819702e-01 5.208333209156990051e-02
0.000000000000000000e+00 6.250000000000000000e-02
3.999999910593032837e-02 6.250000000000000000e-02
7.999999821186065674e-02 6.250000000000000000e-02
1.199999973177909851e-01 6.250000000000000000e-02
1.599999964237213135e-01 6.250000000000000000e-02
2.000000029802322388e-01 6.250000000000000000e-02
2.399999946355819702e-01 6.250000000000000000e-02
0.000000000000000000e+00 7.291666418313980103e-02
3.999999910593032837e-02 7.291666418313980103e-02
